general,condition,cell,conditionName,trialType,ctx,cue,outcome
Normal,few,A,Normal_few_A,A,1,1,1
Normal,few,A,Normal_few_A,B,1,1,0
Normal,few,A,Normal_few_A,B,1,1,0
Normal,few,A,Normal_few_A,C,1,0,1
Normal,few,A,Normal_few_A,C,1,0,1
Normal,few,A,Normal_few_A,D,1,0,0
Normal,few,A,Normal_few_A,D,1,0,0
Normal,many,A,Normal_many_A,A,1,1,1
Normal,many,A,Normal_many_A,A,1,1,1
Normal,many,A,Normal_many_A,A,1,1,1
Normal,many,A,Normal_many_A,A,1,1,1
Normal,many,A,Normal_many_A,B,1,1,0
Normal,many,A,Normal_many_A,B,1,1,0
Normal,many,A,Normal_many_A,C,1,0,1
Normal,many,A,Normal_many_A,C,1,0,1
Normal,many,A,Normal_many_A,D,1,0,0
Normal,many,A,Normal_many_A,D,1,0,0
Normal,few,B,Normal_few_B,A,1,1,1
Normal,few,B,Normal_few_B,A,1,1,1
Normal,few,B,Normal_few_B,B,1,1,0
Normal,few,B,Normal_few_B,C,1,0,1
Normal,few,B,Normal_few_B,C,1,0,1
Normal,few,B,Normal_few_B,D,1,0,0
Normal,few,B,Normal_few_B,D,1,0,0
Normal,many,B,Normal_many_B,A,1,1,1
Normal,many,B,Normal_many_B,A,1,1,1
Normal,many,B,Normal_many_B,B,1,1,0
Normal,many,B,Normal_many_B,B,1,1,0
Normal,many,B,Normal_many_B,B,1,1,0
Normal,many,B,Normal_many_B,B,1,1,0
Normal,many,B,Normal_many_B,C,1,0,1
Normal,many,B,Normal_many_B,C,1,0,1
Normal,many,B,Normal_many_B,D,1,0,0
Normal,many,B,Normal_many_B,D,1,0,0
Normal,few,C,Normal_few_C,A,1,1,1
Normal,few,C,Normal_few_C,A,1,1,1
Normal,few,C,Normal_few_C,B,1,1,0
Normal,few,C,Normal_few_C,B,1,1,0
Normal,few,C,Normal_few_C,C,1,0,1
Normal,few,C,Normal_few_C,D,1,0,0
Normal,few,C,Normal_few_C,D,1,0,0
Normal,many,C,Normal_many_C,A,1,1,1
Normal,many,C,Normal_many_C,A,1,1,1
