"subject","location","age","sex","condition","rating","cell","frequency","duration","effect","condition_simple","freq_A","freq_B","freq_C","freq_D","dur_A","dur_B","dur_C","dur_D"
1,"nz",24,"female","baseline",1,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
2,"nz",21,"female","baseline",8,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
18,"nz",20,"male","baseline",1,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
33,"nz",20,"male","baseline",-3,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
40,"nz",43,"female","baseline",3,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
41,"nz",21,"female","baseline",-2,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
42,"nz",20,"male","baseline",2,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
44,"nz",22,"male","baseline",3,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
50,"nz",21,"female","baseline",0,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
56,"nz",24,"female","baseline",0,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
57,"nz",22,"male","baseline",-6,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
61,"nz",18,"female","baseline",-2,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
65,"nz",20,"female","baseline",1,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
67,"nz",24,"female","baseline",1,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
68,"nz",20,"female","baseline",-1,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
70,"nz",20,"female","baseline",-5,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
75,"nz",21,"female","baseline",-8,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
81,"nz",14,"female","baseline",-4,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
87,"nz",45,"female","baseline",3,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
109,"nz",21,"female","baseline",-5,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
126,"nz",20,"male","baseline",0,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
127,"nz",46,"female","baseline",-4,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
132,"nz",21,"male","baseline",-2,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
137,"nz",29,"male","baseline",-2,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
141,"nz",29,"female","baseline",8,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
142,"nz",31,"female","baseline",-3,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
144,"nz",32,"female","baseline",0,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
146,"nz",35,"female","baseline",0,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
147,"nz",20,"female","baseline",2,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
149,"nz",29,"female","baseline",-5,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
204,"nz",20,"female","baseline",1,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
213,"nz",27,"female","baseline",5,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
216,"nz",50,"female","baseline",0,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
219,"nz",21,"female","baseline",3,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
220,"nz",21,"male","baseline",-4,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
225,"nz",20,"female","baseline",4,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
226,"nz",20,"female","baseline",2,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
234,"nz",26,"male","baseline",-3,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
237,"nz",32,"female","baseline",6,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
247,"nz",20,"female","baseline",0,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
249,"nz",25,"female","baseline",-5,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
250,"nz",18,"female","baseline",9,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
251,"nz",29,"female","baseline",-1,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
1,"mt",NA,"","baseline",-8,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
2,"mt",NA,"","baseline",-8,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
3,"mt",NA,"","baseline",9,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
4,"mt",NA,"","baseline",-2,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
5,"mt",NA,"","baseline",-4,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
6,"mt",NA,"","baseline",2,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
7,"mt",NA,"","baseline",0,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
8,"mt",NA,"","baseline",-5,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
9,"mt",NA,"","baseline",5,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
10,"mt",NA,"","baseline",2,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
11,"mt",NA,"","baseline",-1,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
12,"mt",NA,"","baseline",-1,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
13,"mt",NA,"","baseline",6,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
14,"mt",NA,"","baseline",-9,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
15,"mt",NA,"","baseline",-3,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
16,"mt",NA,"","baseline",5,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
17,"mt",NA,"","baseline",3,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
