"subject","sex","age","condition","rating","cond_order","cell","adjusted","few_many","frequency","duration"
2,"female",18,"FewBAdjusted",5,1,"B","yes","Few","9","3200"
2,"female",18,"FewCAdjusted",7,2,"C","yes","Few","9","3200"
2,"female",18,"FewAAdjusted",-5,3,"A","yes","Few","9","3200"
2,"female",18,"ManyAControl",8,4,"A","no","Many","144","800"
2,"female",18,"ManyCControl",-7,5,"C","no","Many","144","800"
2,"female",18,"FewAControl",-9,6,"A","no","Few","9","800"
2,"female",18,"FewCControl",4,7,"C","no","Few","9","800"
2,"female",18,"ManyBAdjusted",-7,8,"B","yes","Many","144","200"
2,"female",18,"Baseline",3,9,"A","yes","Baseline","36","800"
2,"female",18,"ManyAAdjusted",7,10,"A","yes","Many","144","200"
2,"female",18,"ManyBControl",-8,11,"B","no","Many","144","800"
2,"female",18,"ManyCAdjusted",3,12,"C","yes","Many","144","200"
2,"female",18,"FewBControl",-5,13,"B","no","Few","9","800"
3,"male",18,"ManyBAdjusted",-5,1,"B","yes","Many","144","200"
3,"male",18,"ManyBControl",-2,2,"B","no","Many","144","800"
3,"male",18,"FewBControl",3,3,"B","no","Few","9","800"
3,"male",18,"FewCControl",6,4,"C","no","Few","9","800"
3,"male",18,"FewCAdjusted",5,5,"C","yes","Few","9","3200"
3,"male",18,"ManyCControl",3,6,"C","no","Many","144","800"
3,"male",18,"FewBAdjusted",2,7,"B","yes","Few","9","3200"
3,"male",18,"ManyAControl",9,8,"A","no","Many","144","800"
3,"male",18,"FewAAdjusted",-4,9,"A","yes","Few","9","3200"
3,"male",18,"ManyCAdjusted",-6,10,"C","yes","Many","144","200"
3,"male",18,"ManyAAdjusted",2,11,"A","yes","Many","144","200"
3,"male",18,"FewAControl",-2,12,"A","no","Few","9","800"
3,"male",18,"Baseline",-1,13,"A","yes","Baseline","36","800"
4,"male",18,"ManyCAdjusted",-6,1,"C","yes","Many","144","200"
4,"male",18,"ManyBAdjusted",2,2,"B","yes","Many","144","200"
4,"male",18,"ManyBControl",-9,3,"B","no","Many","144","800"
4,"male",18,"FewCControl",5,4,"C","no","Few","9","800"
4,"male",18,"ManyCControl",-4,5,"C","no","Many","144","800"
4,"male",18,"FewAAdjusted",0,6,"A","yes","Few","9","3200"
4,"male",18,"ManyAAdjusted",6,7,"A","yes","Many","144","200"
4,"male",18,"Baseline",-2,8,"A","yes","Baseline","36","800"
4,"male",18,"FewBAdjusted",2,9,"B","yes","Few","9","3200"
4,"male",18,"FewAControl",-10,10,"A","no","Few","9","800"
4,"male",18,"FewBControl",6,11,"B","no","Few","9","800"
4,"male",18,"ManyAControl",8,12,"A","no","Many","144","800"
4,"male",18,"FewCAdjusted",2,13,"C","yes","Few","9","3200"
5,"female",18,"ManyBAdjusted",2,1,"B","yes","Many","144","200"
5,"female",18,"FewBAdjusted",-2,2,"B","yes","Few","9","3200"
5,"female",18,"ManyAControl",7,3,"A","no","Many","144","800"
5,"female",18,"FewBControl",0,4,"B","no","Few","9","800"
