"cond_order","condition_code","subject","rating","condition","cell","freq","dur","adjusted"
"0","13","1",3,"D_longAdj","D",4,5400,"yes"
"0","6","2",-8,"B_longer","B",12,5400,"no"
"0","0","3",1,"A_short","A",12,600,"no"
"0","12","4",6,"D_short","D",12,600,"no"
"0","6","5",-7,"B_longer","B",12,5400,"no"
"0","5","6",-3,"B_longAdj","B",4,5400,"yes"
"0","11","8",3,"C_shortAdj","C",36,600,"yes"
"0","11","9",4,"C_shortAdj","C",36,600,"yes"
"0","9","10",4,"C_longAdj","C",4,5400,"yes"
"0","12","11",-2,"D_short","D",12,600,"no"
"0","9","12",7,"C_longAdj","C",4,5400,"yes"
"0","9","13",-2,"C_longAdj","C",4,5400,"yes"
"0","0","14",2,"A_short","A",12,600,"no"
"0","5","15",4,"B_longAdj","B",4,5400,"yes"
"0","6","16",-5,"B_longer","B",12,5400,"no"
"0","3","17",5,"A_shortAdj","A",36,600,"yes"
"0","11","18",-3,"C_shortAdj","C",36,600,"yes"
"0","14","19",5,"D_longer","D",12,5400,"no"
"0","3","20",-2,"A_shortAdj","A",36,600,"yes"
"0","13","21",-6,"D_longAdj","D",4,5400,"yes"
"0","1","22",-3,"A_longAdj","A",4,5400,"yes"
"0","9","23",6,"C_longAdj","C",4,5400,"yes"
"0","8","24",6,"C_short","C",12,600,"no"
"0","8","25",6,"C_short","C",12,600,"no"
"0","11","26",-9,"C_shortAdj","C",36,600,"yes"
"0","0","27",6,"A_short","A",12,600,"no"
"0","15","28",5,"D_shortAdj","D",36,600,"yes"
"0","5","29",8,"B_longAdj","B",4,5400,"yes"
"0","13","30",-2,"D_longAdj","D",4,5400,"yes"
"0","2","31",6,"A_longer","A",12,5400,"no"
"0","13","32",-6,"D_longAdj","D",4,5400,"yes"
"0","14","33",3,"D_longer","D",12,5400,"no"
"0","8","34",2,"C_short","C",12,600,"no"
"0","15","35",8,"D_shortAdj","D",36,600,"yes"
"0","4","36",-6,"B_short","B",12,600,"no"
"0","3","37",7,"A_shortAdj","A",36,600,"yes"
"0","7","38",-5,"B_shortAdj","B",36,600,"yes"
"0","8","39",9,"C_short","C",12,600,"no"
