"subject","sex","birthYear"
"1","f","1972"
"2","f","1977"
"3","f","1979"
"4","m","1971"
"5","m","1970"
"6","m","1987"
"8","m","1986"
"9","m","1987"
"10","f","1984"
"11","m","{}"
"12","f","1971"
"13","m","1976"
"14","m","28"
"15","f","1987"
"16","f","1984"
"17","m","1987"
"18","m","1993"
"19","m","1988"
"20","f","1988"
"21","m","1996"
"22","m","1990"
"23","m","1990"
"24","f","1974"
"25","m","{}"
"26","m","1993"
"27","f","1981"
"28","f","1985"
"29","m","{}"
"30","m","1988"
"31","f","1988"
"32","m","1987"
"33","f","1973"
"34","f","1984"
"35","f","1979"
"36","m","1987"
"37","m","1989"
"38","m","1989"
"39","f","1977"
"40","m","1990"
"41","m","1975"
"42","f","1988"
"43","f","1975"
"44","m","1973"
